magnitude, phase, angfreq
60.9045,-250.089,55557.8
59.9787,-250.354,56331.4
59.0693,-250.616,57115.9
58.1759,-250.875,57911.2
57.2981,-251.13,58717.7
56.4355,-251.382,59535.3
55.5879,-251.631,60364.4
54.7549,-251.876,61205
53.9362,-252.119,62057.3
53.1314,-252.358,62921.5
52.3404,-252.595,63797.7
51.5626,-252.828,64686.1
50.798,-253.059,65586.9
50.0462,-253.286,66500.2
49.3069,-253.511,67426.2
48.5798,-253.732,68365.2
47.8648,-253.951,69317.2
47.1616,-254.167,70282.4
46.4699,-254.38,71261.2
45.7895,-254.591,72253.5
45.1201,-254.798,73259.7
44.4616,-255.003,74279.8
43.8137,-255.205,75314.2
43.1763,-255.405,76363
42.549,-255.602,77426.4
41.9318,-255.797,78504.6
41.3244,-255.989,79597.8
40.7266,-256.178,80706.2
40.1382,-256.365,81830.1
39.5591,-256.549,82969.6
38.9891,-256.732,84125
38.428,-256.911,85296.4
37.8757,-257.089,86484.2
37.3319,-257.263,87688.6
36.7966,-257.436,88909.7
36.2695,-257.607,90147.8
35.7506,-257.775,91403.1
35.2396,-257.941,92675.9
34.7365,-258.104,93966.5
34.241,-258.266,95275
33.7532,-258.425,96601.7
33.2727,-258.582,97947
32.7995,-258.738,99310.9
32.3335,-258.891,100694
31.8745,-259.042,102096
31.4224,-259.191,103518
30.9771,-259.338,104959
30.5385,-259.483,106421
30.1064,-259.626,107903
29.6808,-259.767,109405
29.2616,-259.907,110929
28.8485,-260.044,112474
28.4416,-260.18,114040
28.0407,-260.314,115628
27.6458,-260.446,117238
27.2566,-260.576,118871
26.8732,-260.704,120526
26.4954,-260.831,122204
26.1232,-260.956,123906
25.7564,-261.08,125632
25.395,-261.201,127381
25.0389,-261.321,129155
24.6879,-261.44,130954
24.3421,-261.557,132777
24.0012,-261.672,134626
23.6654,-261.786,136501
23.3344,-261.898,138402
23.0081,-262.009,140329
22.6866,-262.118,142283
22.3698,-262.225,144264
22.0575,-262.332,146273
21.7497,-262.437,148310
21.4463,-262.54,150376
21.1473,-262.642,152470
20.8525,-262.743,154593
20.562,-262.842,156746
20.2757,-262.94,158928
19.9934,-263.036,161141
19.7152,-263.132,163385
19.4409,-263.226,165661
19.1706,-263.318,167967
18.9041,-263.41,170307
18.6414,-263.5,172678
18.3824,-263.589,175083
18.1271,-263.677,177521
17.8754,-263.763,179993
17.6273,-263.848,182499
17.3827,-263.933,185041
17.1416,-264.016,187617
16.9038,-264.098,190230
16.6695,-264.179,192879
16.4384,-264.258,195565
16.2106,-264.337,198288
15.986,-264.415,201050
15.7646,-264.491,203849
15.5463,-264.567,206688
15.331,-264.641,209566
15.1188,-264.714,212485
14.9096,-264.787,215443
14.7033,-264.858,218444
14.4999,-264.929,221486
14.2994,-264.998,224570
14.1016,-265.067,227697
13.9067,-265.134,230868
13.7144,-265.201,234083
13.5249,-265.267,237342
13.338,-265.332,240648
13.1537,-265.396,243999
12.972,-265.459,247396
12.7929,-265.521,250842
12.6162,-265.583,254335
12.442,-265.643,257876
12.2702,-265.703,261467
12.1009,-265.762,265108
11.9339,-265.82,268800
11.7692,-265.877,272543
11.6068,-265.934,276339
11.4466,-265.99,280187
11.2887,-266.045,284088
11.133,-266.099,288044
10.9795,-266.152,292056
10.8281,-266.205,296123
10.6788,-266.257,300246
10.5316,-266.309,304427
10.3864,-266.359,308666
10.2432,-266.409,312965
10.102,-266.458,317323
9.96283,-266.507,321742
9.82554,-266.555,326222
9.69016,-266.602,330765
9.55665,-266.649,335371
9.425,-266.695,340041
9.29517,-266.74,344776
9.16713,-266.785,349578
9.04087,-266.829,354446
8.91636,-266.872,359381
8.79358,-266.915,364386
8.67249,-266.958,369460
8.55308,-266.999,374605
8.43532,-267.041,379822
8.31919,-267.081,385111
8.20467,-267.121,390474
8.09173,-267.161,395911
7.98035,-267.2,401424
7.87051,-267.238,407014
7.76219,-267.276,412682
7.65537,-267.314,418429
7.55002,-267.35,424256
7.44613,-267.387,430164
7.34367,-267.423,436154
7.24263,-267.458,442227
7.14298,-267.493,448386
7.04471,-267.527,454630
6.9478,-267.561,460960
6.85222,-267.595,467380
6.75796,-267.628,473888
6.665,-267.66,480487
6.57333,-267.692,487178
6.48292,-267.724,493962
6.39375,-267.755,500841
6.30582,-267.786,507815
6.2191,-267.817,514887
6.13357,-267.847,522057
6.04923,-267.876,529327
5.96604,-267.905,536698
5.88401,-267.934,544171
5.8031,-267.962,551749
5.72331,-267.99,559433
5.64462,-268.018,567223
5.56701,-268.045,575122
5.49047,-268.072,583131
5.41499,-268.099,591251
5.34054,-268.125,599484
5.26713,-268.15,607832
5.19472,-268.176,616297
5.12331,-268.201,624879
5.05288,-268.226,633580
4.98343,-268.25,642403
4.91492,-268.274,651349
4.84737,-268.298,660419
4.78074,-268.321,669616
4.71503,-268.344,678941
4.65022,-268.367,688395
4.58631,-268.389,697981
4.52328,-268.411,707701
